scorer,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000
bodyparts,Mouse1,Mouse1,Mouse1,Mouse2,Mouse2,Mouse2,Mouse3,Mouse3,Mouse3,Mouse4,Mouse4,Mouse4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
41,931.3676758,35.93587112,1,1147.414795,44.40255356,0.999994278,544.2528076,644.2321167,0.999998689,1507.832764,678.9743042,0.999999285
42,931.3782959,35.94617081,1,1147.425293,44.41801834,0.999994397,544.2528076,644.2321167,0.999998689,1507.832764,678.9743042,0.999999285
43,931.3782959,35.96064758,0.999999881,1147.425293,44.41801834,0.999994397,544.2528076,644.2321167,0.999998689,1507.832764,678.9813232,0.999999225
44,931.3782959,35.96405029,1,1147.425293,44.41801834,0.99999404,544.2528076,644.2321167,0.999998689,1507.832764,678.9813232,0.999999285
45,931.3978271,36.19736862,0.999999881,1147.210327,43.98649216,0.999995232,544.3864746,643.8552246,0.999998987,1507.65918,678.9779663,0.999999166
46,931.383667,36.19736862,1,1147.208008,43.98362732,0.999995232,544.3947754,643.8191528,0.999998808,1507.65918,678.9779663,0.999999046
47,931.3624268,36.19736862,1,1147.202271,43.98265457,0.999995232,544.3947754,643.7489624,0.999998808,1507.65918,678.9813232,0.999999166
48,931.3624268,36.0631752,1,1147.019775,43.81391525,0.999994874,544.3947754,643.7489014,0.999999225,1507.65918,679.5657959,0.999998569
49,931.1930542,35.9090271,1,1147.0177,43.68655014,0.999993801,544.2710571,643.6480713,0.999998927,1507.65918,679.6820068,0.999998629
50,931.1930542,35.90736389,1,1147.0177,43.60151672,0.999993801,544.2710571,643.5897827,0.999998868,1507.624023,679.6904907,0.999998569
51,931.1398315,35.89349747,1,1147.019775,43.60151672,0.999993801,544.2672729,643.5897827,0.999998927,1507.624023,679.6904907,0.999998569
52,931.1264038,35.83491898,0.99999994,1147.022339,43.60151672,0.999993801,544.2710571,643.5897827,0.999998987,1507.624023,679.6904907,0.999998629
53,930.8950195,35.69506073,1,1147.058838,44.26614761,0.999994516,544.2710571,643.6704712,0.999998808,1507.624023,679.4927368,0.999998808
54,930.8950195,35.68989944,1,1147.085083,44.27363586,0.999994278,544.293335,643.6704712,0.999998689,1507.623657,679.3310547,0.999998808
55,930.8950195,35.65362167,1,1147.118774,44.28644562,0.999994099,544.293335,643.6707764,0.999998689,1507.590698,678.7964478,0.999999046
56,930.9179688,35.66029739,1,1147.120972,44.28644562,0.999994159,544.293335,643.6710815,0.999998629,1507.590698,678.7470093,0.999999166
57,930.9414063,35.63847351,0.99999994,1147.122314,44.28644562,0.999994099,544.2805786,643.6704712,0.999998629,1507.535034,678.5269165,0.999999404
58,930.9414063,35.59413528,1,1147.120972,44.25868988,0.999994159,544.2805786,643.6678467,0.999998689,1507.590698,678.4370728,0.999999285
59,930.9783325,35.59413528,1,1147.120972,44.18814468,0.999993384,544.2805786,643.7183838,0.999998569,1507.598022,678.3778076,0.999999285
60,931.0540161,35.53555298,1,1147.043701,44.01443481,0.999995112,544.3226929,643.7197266,0.999998689,1507.598022,678.3778076,0.999999285
61,931.1210938,35.47794342,1,1147.035034,44.01443481,0.999994397,544.4443359,644.0606689,0.999998808,1507.535034,678.4370728,0.999999225
62,931.2468262,35.47794342,0.999999881,1146.982788,44.01443481,0.999995053,544.4680176,644.0630493,0.999998808,1507.598022,678.4370728,0.999999166
63,931.2802734,35.47794342,1,1146.964355,44.05389404,0.999995112,544.4680176,644.0792847,0.999998748,1507.728638,678.2639771,0.999999166
64,931.2802734,35.46834564,0.999999881,1146.961548,44.05847931,0.999995053,544.4680176,644.0792847,0.999998748,1507.728638,678.2166748,0.999999106
65,931.2541504,35.46834564,0.999999881,1146.961548,44.05951691,0.999995053,544.4680176,644.0963745,0.999998748,1507.80957,678.2166748,0.999999285
66,931.2541504,35.46834564,1,1146.959229,44.14748383,0.999994457,544.4800415,644.0968018,0.999998808,1507.823242,678.1993408,0.999999166
67,931.2802734,35.46834564,0.999999881,1146.923828,44.14748383,0.999994457,544.3855591,644.0968018,0.999998808,1507.883545,678.2166748,0.999999225
68,931.3129272,35.47240829,0.999999881,1146.914307,44.14748383,0.999994397,544.3855591,644.0968018,0.999998689,1507.911621,678.2178345,0.999999166
